indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-546,D01,2022-12-01,DEPT,12.1,12.1,,
IND-546,D01,2023-12-01,DEPT,,26.1,,
IND-546,D01,2024-12-01,DEPT,,37.3,,72.0
IND-546,D01,2026-12-01,DEPT,,,47.1,
IND-546,D02,2022-12-01,DEPT,11.0,11.0,,
IND-546,D02,2023-12-01,DEPT,,24.3,,
IND-546,D02,2024-12-01,DEPT,,34.6,,65.56
IND-546,D02,2026-12-01,DEPT,,,47.0,
IND-546,D03,2022-12-01,DEPT,11.6,11.6,,
IND-546,D03,2023-12-01,DEPT,,22.9,,
IND-546,D03,2024-12-01,DEPT,,36.8,,70.99
IND-546,D03,2026-12-01,DEPT,,,47.1,
IND-546,D04,2022-12-01,DEPT,7.7,7.7,,
IND-546,D04,2023-12-01,DEPT,,16.5,,
IND-546,D04,2024-12-01,DEPT,,24.4,,46.39
IND-546,D04,2026-12-01,DEPT,,,43.7,
IND-546,D05,2022-12-01,DEPT,11.6,11.6,,
IND-546,D05,2023-12-01,DEPT,,21.3,,
IND-546,D05,2024-12-01,DEPT,,32.5,,58.87
IND-546,D05,2026-12-01,DEPT,,,47.1,
IND-546,D06,2022-12-01,DEPT,9.1,9.1,,
IND-546,D06,2023-12-01,DEPT,,18.3,,
IND-546,D06,2024-12-01,DEPT,,27.1,,50.0
IND-546,D06,2026-12-01,DEPT,,,45.1,
IND-546,D07,2022-12-01,DEPT,8.7,8.7,,
IND-546,D07,2023-12-01,DEPT,,19.3,,
IND-546,D07,2024-12-01,DEPT,,31.0,,61.94
IND-546,D07,2026-12-01,DEPT,,,44.7,
IND-546,D08,2022-12-01,DEPT,10.5,10.5,,
IND-546,D08,2023-12-01,DEPT,,25.5,,
IND-546,D08,2024-12-01,DEPT,,35.1,,68.33
IND-546,D08,2026-12-01,DEPT,,,46.5,
IND-546,D09,2022-12-01,DEPT,9.4,9.4,,
IND-546,D09,2023-12-01,DEPT,,16.4,,
IND-546,D09,2024-12-01,DEPT,,28.9,,54.17
IND-546,D09,2026-12-01,DEPT,,,45.4,
IND-546,D10,2022-12-01,DEPT,13.1,13.1,,
IND-546,D10,2023-12-01,DEPT,,28.6,,
IND-546,D10,2024-12-01,DEPT,,39.3,,77.06
IND-546,D10,2026-12-01,DEPT,,,47.1,
IND-546,D11,2022-12-01,DEPT,7.6,7.6,,
IND-546,D11,2023-12-01,DEPT,,17.6,,
IND-546,D11,2024-12-01,DEPT,,30.5,,63.61
IND-546,D11,2026-12-01,DEPT,,,43.6,
IND-546,D12,2022-12-01,DEPT,11.2,11.2,,
IND-546,D12,2023-12-01,DEPT,,25.2,,
IND-546,D12,2024-12-01,DEPT,,36.5,,70.28
IND-546,D12,2026-12-01,DEPT,,,47.2,
IND-546,D13,2022-12-01,DEPT,9.9,9.9,,
IND-546,D13,2023-12-01,DEPT,,19.2,,
IND-546,D13,2024-12-01,DEPT,,29.5,,54.44
IND-546,D13,2026-12-01,DEPT,,,45.9,
IND-546,D14,2022-12-01,DEPT,15.6,15.6,,
IND-546,D14,2023-12-01,DEPT,,32.8,,
IND-546,D14,2024-12-01,DEPT,,47.2,,92.94
IND-546,D14,2026-12-01,DEPT,,,49.6,
IND-546,D15,2022-12-01,DEPT,8.9,8.9,,
