indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-326,D01,2021-12-31,DEPT,14.9,,,
IND-326,D01,2023-05-31,DEPT,,88.63,,
IND-326,D01,2023-06-30,DEPT,,92.06,,
IND-326,D01,2023-07-31,DEPT,,82.88,,
IND-326,D01,2023-08-31,DEPT,,85.17,,
IND-326,D01,2023-09-30,DEPT,,94.37,,
IND-326,D01,2023-10-31,DEPT,,91.54,,100
IND-326,D01,2026-12-31,DEPT,,,65,
IND-326,D02,2021-12-31,DEPT,14.9,,,
IND-326,D02,2023-05-31,DEPT,,52.03,,
IND-326,D02,2023-06-30,DEPT,,68.26,,
IND-326,D02,2023-07-31,DEPT,,48.96,,
IND-326,D02,2023-08-31,DEPT,,59.94,,
IND-326,D02,2023-09-30,DEPT,,63.7,,
IND-326,D02,2023-10-31,DEPT,,80.44,,100
IND-326,D02,2026-12-31,DEPT,,,65,
IND-326,D03,2021-12-31,DEPT,14.9,,,
IND-326,D03,2023-05-31,DEPT,,50.77,,
IND-326,D03,2023-06-30,DEPT,,37.54,,
IND-326,D03,2023-07-31,DEPT,,51.68,,
IND-326,D03,2023-08-31,DEPT,,35.2,,
IND-326,D03,2023-09-30,DEPT,,21.55,,
IND-326,D03,2023-10-31,DEPT,,53.67,,77.3852295409
IND-326,D03,2026-12-31,DEPT,,,65,
IND-326,D04,2021-12-31,DEPT,14.9,,,
IND-326,D04,2023-05-31,DEPT,,1,,
IND-326,D04,2023-06-30,DEPT,,1.87,,
IND-326,D04,2023-07-31,DEPT,,40.48,,
IND-326,D04,2023-08-31,DEPT,,1.19,,
IND-326,D04,2023-09-30,DEPT,,5.81,,
IND-326,D04,2023-10-31,DEPT,,20.37,,10.9181636727
IND-326,D04,2026-12-31,DEPT,,,65,
IND-326,D05,2021-12-31,DEPT,14.9,,,
IND-326,D05,2023-05-31,DEPT,,27.45,,
IND-326,D05,2023-06-30,DEPT,,34.42,,
IND-326,D05,2023-07-31,DEPT,,32.84,,
IND-326,D05,2023-08-31,DEPT,,12.28,,
IND-326,D05,2023-09-30,DEPT,,28.89,,
IND-326,D05,2023-10-31,DEPT,,46.94,,63.9520958084
IND-326,D05,2026-12-31,DEPT,,,65,
IND-326,D06,2021-12-31,DEPT,14.9,,,
IND-326,D06,2023-05-31,DEPT,,48.22,,
IND-326,D06,2023-06-30,DEPT,,44.41,,
